datetime,day of week,total,place,angbutter,plain bread,jam,americano,croissant,caffe latte,tiramisu croissant,mad garlic,milk tea,pandoro,cheese cake,lemon ade,orange pound,wiener,vanila latte,berry ade
22-08-2019 15.24,Thur,26000,동면,,,,,1,,1,,,1,,,1,1,,
23-08-2019 11.28,Fri,42200,동면,4,3,,,3,,,,,,,,,,,
23-08-2019 11.53,Fri,57700,퇴계동,9,,,,,,,,,1,,,1,,,
23-08-2019 12.42,Fri,14100,효자 2동,1,,,,1,,,,,,,,,,,
23-08-2019 12.47,Fri,19800,효자 2동,1,,,1,,,,,,,,,1,,,
23-08-2019 15.32,Fri,22000,후평 3동,,,,,1,,,,1,,,,,,1,
24-08-2019 11.06,Sat,16000,후평 1동,,,,,2,,,,,,,,,,,
24-08-2019 11.09,Sat,20100,후평 1동,1,,,,,,,,,,,,1,2,,
24-08-2019 11.13,Sat,25600,효자 2동,1,1,,,,,1,,,,,,,1,,1
24-08-2019 11.14,Sat,23100,동면,2,1,,,1,,1,,,,,,,,,
24-08-2019 11.14,Sat,17300,후평 3동,1,1,,,1,,,,,,,,,,,
24-08-2019 11.18,Sat,24900,후평 3동,3,,,,1,,,,,,,,,2,,
24-08-2019 11.19,Sat,17300,강남동,1,,,,3,,,,,,,,,,,
24-08-2019 11.42,Sat,14300,후평 1동,1,,,1,1,,,,,,,,,,,
24-08-2019 11.51,Sat,15600,후평 3동,2,,,,,,,,,,,,,,,
24-08-2019 11.55,Sat,20800,동면,,1,,,2,1,,,,,,,,,,
24-08-2019 12.28,Sat,15800,소양동,1,,,,,,,,,1,,,1,,,
24-08-2019 12.56,Sat,23300,신사우동,1,2,,,,,,,,,,,,,,
24-08-2019 13.07,Sat,14800,효자 3동,1,1,,,,1,,,,,,,,,,
24-08-2019 14.13,Sat,15300,후평 2동,1,,,,,,,,,,,,,,,
25-08-2019 11.02,Sun,16400,효자 2동,3,,,,,,,,,,,,,,,
25-08-2019 11.04,Sun,15300,소양동,1,,,1,,,1,,,,,,,,,
25-08-2019 11.06,Sun,17300,동면,1,,,,,,,,,,,,,1,,
25-08-2019 11.18,Sun,15300,동면,1,1,,,,,,,,,,,,2,,
25-08-2019 11.53,Sun,15300,소양동,1,1,1,,1,,,,,,,,,,,
25-08-2019 12.02,Sun,15800,석사동,1,,,,,,1,,,1,,,,,,
25-08-2019 12.05,Sun,22100,후평 1동,2,,,,,,,,,,,,,,,
25-08-2019 12.05,Sun,14100,후평 2동,2,,,,,,,,,,,,,1,,
25-08-2019 12.23,Sun,25300,후평 3동,1,,,,1,1,,,,,,,,1,1,
25-08-2019 12.43,Sun,17400,신사우동,3,,,,,,,,,,,,,,,
25-08-2019 12.48,Sun,15100,퇴계동,1,,,,,,1,,,,,,,,,
25-08-2019 13.13,Sun,15600,퇴계동,2,,,,,,,,,,,,,,,
26-08-2019 11.16,Mon,17800,효자 2동,1,,,1,,,,,,1,,,,1,,
26-08-2019 11.17,Mon,19900,동면,3,1,,,,,,,,,,,,,,
26-08-2019 11.30,Mon,18000,동면,,,,,1,,,,,,,,,2,,
26-08-2019 11.49,Mon,15500,동면,,,,,,,2,,,1,,,,,,
26-08-2019 12.05,Mon,14800,동면,1,,,,1,,1,,,,,,,,,
26-08-2019 14.25,Mon,15300,효자 2동,1,,,,,,,,,1,,,,,,
26-08-2019 15.48,Mon,21600,신사우동,2,,,,,,2,,,,,,,,,
26-08-2019 16.06,Mon,14000,후평 2동,,,,1,,,,,,,,,,,,
26-08-2019 16.11,Mon,22800,후평 3동,1,,,,,,1,,,,,,1,1,,
28-08-2019 11.19,Wed,16300,석사동,1,1,,,1,,,,,,,,,1,,
28-08-2019 11.30,Wed,34100,후평 3동,2,,,,,,2,,3,,,,,,,
28-08-2019 12.20,Wed,30400,강남동,3,,,,2,,,,,,,,,,,
28-08-2019 12.24,Wed,18000,후평 3동,,,,,,,1,,1,1,,,,1,,
28-08-2019 12.46,Wed,18600,효자 1동,2,,,,2,,,,,,,,,,,
28-08-2019 13.42,Wed,14800,석사동,1,,,,,,,,,1,,,,,,
28-08-2019 13.57,Wed,33400,후평 2동,3,,,2,,1,,,,,,,,,,
28-08-2019 14.05,Wed,19300,후평 3동,1,1,,,,1,,,,1,,,,,,
29-08-2019 11.04,Thur,22300,조운동,1,2,,,,,,,,,,,,2,,
29-08-2019 12.25,Thur,18300,후평 3동,1,,,,2,,,,1,,,,,,,
29-08-2019 12.35,Thur,16100,동면,2,,,,,,,,,,,,,,,
29-08-2019 13.12,Thur,24000,후평 1동,,,,1,,,,,,,,,,,2,2
29-08-2019 13.28,Thur,53800,후평 1동,6,2,,2,1,,,,,,,,,,,
29-08-2019 14.01,Thur,30800,효자 1동,6,,,,,,,,,,,,,,,
29-08-2019 14.31,Thur,15500,신사우동,,,,,1,1,,,,,,,1,,,
29-08-2019 15.08,Thur,15000,후평 1동,,,,,1,,,,,,,,,2,1,
29-08-2019 16.15,Thur,19000,후평 2동,,1,1,,,,,,,,,,1,,,
29-08-2019 16.45,Thur,24300,효자 2동,1,,,,,,1,,,1,,,,,,
29-08-2019 16.46,Thur,15100,교동,1,,,,,,,,,1,,,,,,
30-08-2019 11.10,Fri,16400,약사명동,3,,,,,,,,,,,,,,,
30-08-2019 11.16,Fri,14800,동면,1,1,,,,,,,,,,,,,1,
30-08-2019 11.18,Fri,39300,후평 1동,6,,,1,,,,,,,,,1,,,
30-08-2019 11.36,Fri,20600,후평 2동,2,,,,,,,,,,,,2,,,
30-08-2019 13.10,Fri,14300,후평 1동,1,,,1,1,,,,,,,,,,,
30-08-2019 14.13,Fri,16000,동면,,,,,1,,,,,1,,,,1,,
30-08-2019 14.30,Fri,21200,동면,4,,,,,,,,,,,,,,,
30-08-2019 15.00,Fri,23100,후평 1동,2,,,,,,,,,,,,1,,,
30-08-2019 15.05,Fri,28800,동면,1,1,1,,,,,,,,,,,,1,
30-08-2019 15.25,Fri,28300,후평 1동,1,,,2,,2,,,,,,1,,,,
30-08-2019 15.39,Fri,15500,동면,,,,,,,2,,,,,,,,,
30-08-2019 16.18,Fri,18800,동면,1,1,,1,,,1,,,,,,,,,
31-08-2019 11.15,Sat,18600,효자 2동,1,,,,,,1,,,,,,,,,
31-08-2019 11.20,Sat,16300,퇴계동,1,,,,1,,,,,,,,,1,,
31-08-2019 11.37,Sat,14800,후평 3동,1,1,,,,,1,,,,,,,,,
31-08-2019 12.31,Sat,16300,퇴계동,1,,,,1,,,,,,,,,1,,
31-08-2019 12.34,Sat,14800,후평 1동,1,,,,,,1,,,,,,,,,
31-08-2019 13.16,Sat,16000,동면,,4,,,,,,,,,,,,,,
31-08-2019 14.50,Sat,16100,후평 3동,2,,,,,,,,1,,,,,,,
31-08-2019 15.27,Sat,14100,동내면,2,,,,,1,,,,,,,,,,
01-09-2019 11.05,Sun,23300,후평 2동,1,,,,,,,,,1,,,,,,
01-09-2019 11.22,Sun,14800,동면,1,,,,,,,,,,,,1,,,
01-09-2019 11.40,Sun,22100,후평 2동,2,1,,,1,,,,,,,,,,,
01-09-2019 12.04,Sun,19600,효자 3동,2,,,,,1,,,,,,,,,,
01-09-2019 12.07,Sun,16600,석사동,2,1,1,,,,,,,,,,,,,
01-09-2019 12.25,Sun,22900,효자 1동,2,1,,,,,,,,,,,,,,
01-09-2019 12.39,Sun,28300,후평 3동,1,1,,,,,,,,,,,2,,,
01-09-2019 13.56,Sun,14800,석사동,,,,,,,1,,,,,,1,,,
01-09-2019 14.05,Sun,33100,석사동,1,,,2,1,,,,,,,,,,,
01-09-2019 14.35,Sun,14800,효자 3동,1,,,,1,,,,,1,,,,,,
01-09-2019 14.43,Sun,15800,효자 2동,1,,,,,,,,,,,,,,1,
01-09-2019 15.04,Sun,16100,소양동,2,,,,,,,,,,,,1,,,
02-09-2019 12.12,Mon,31400,근화동,3,,,,1,,,,,1,,,1,1,,
02-09-2019 14.17,Mon,20300,후평 3동,1,,,,,,1,,,,,,,,1,1
02-09-2019 14.30,Mon,24300,동면,1,,,,,,,,,1,,,,,,
02-09-2019 15.13,Mon,23500,동면,,,,,1,,2,,,2,,,,1,1,
02-09-2019 15.16,Mon,18300,후평 1동,1,,,,,,,,,,,,,,,
02-09-2019 15.24,Mon,15000,후평 3동,,,,,,,,,,1,,,,,,
04-09-2019 11.49,Wed,23000,후평 3동,,,,1,,1,1,,,,,,1,,,
04-09-2019 12.04,Wed,14800,후평 1동,1,,,1,,,,,,,,,,,,
04-09-2019 12.06,Wed,18600,후평 2동,1,,,,1,,1,,,,,,,,,
04-09-2019 12.31,Wed,18600,후평 3동,1,,,,1,,,,1,,,,,,,
04-09-2019 12.58,Wed,17000,동면,,1,,,1,,,,,1,,,,,,
04-09-2019 13.19,Wed,19300,후평 1동,1,,,,1,,,,,,,,,2,,
04-09-2019 13.31,Wed,15300,효자 2동,1,,,1,,,1,,,,,,,,,
04-09-2019 13.42,Wed,27700,근화동,3,,,,,,,,,,,,,,,
04-09-2019 13.53,Wed,22800,후평 3동,1,1,1,,1,,,,,,,,,,,
04-09-2019 14.52,Wed,25600,효자 2동,,,,,2,,1,,,,,,1,,,
04-09-2019 14.54,Wed,14800,효자 2동,1,1,,,,,1,,,,,,,,,
04-09-2019 15.26,Wed,41100,조운동,2,2,2,2,,,,,1,,,,,,,
04-09-2019 16.28,Wed,18600,동면,2,,,,2,,,,,,,,,,,
05-09-2019 11.15,Thur,27700,동면,4,,,,,,,,,,,,,1,,
05-09-2019 11.27,Thur,21800,효자 1동,1,2,,,1,,,,,,,,1,,,
05-09-2019 11.47,Thur,15100,강남동,2,1,,,,,,,,,,,,,,
05-09-2019 12.12,Thur,19600,후평 2동,1,,,,,,,,,,,,1,,1,
05-09-2019 12.21,Thur,16400,교동,3,,,,,,,,,,,,,,,
05-09-2019 12.24,Thur,17600,석사동,2,,,,,,,,,,,,,1,,
05-09-2019 13.30,Thur,15600,퇴계동,2,,,1,,,,,,,,,,,,
05-09-2019 13.49,Thur,20900,신사우동,2,,,,,,1,,,,,,,,,
05-09-2019 14.30,Thur,29200,신사우동,4,1,,,,,,,,,,,,,,
05-09-2019 14.46,Thur,18800,동면,1,1,,,,,1,,,,,,,,,
05-09-2019 15.39,Thur,16100,석사동,2,,,,,,,,1,,,,,,,
05-09-2019 15.46,Thur,14800,후평 2동,1,,,,,,1,,,,,,,,,
05-09-2019 15.50,Thur,14100,소양동,2,,,,,,,,,,,,,1,,
06-09-2019 11.14,Fri,16300,강남동,1,,,,2,,,,,,,,,1,,
06-09-2019 11.30,Fri,14800,후평 2동,1,,,,,,1,,,,,,,,,
06-09-2019 12.09,Fri,15300,후평 2동,1,1,1,,,,,,,,,,,,,
06-09-2019 13.46,Fri,19800,동면,1,,,,,,1,,,1,,,,,,
06-09-2019 15.06,Fri,15800,동면,4,,,,,,,,,,,,,,,
06-09-2019 16.29,Fri,39700,소양동,2,,,,2,,,,,,,,1,,,
07-09-2019 11.06,Sat,18600,석사동,,,,,,,,,,,,,2,,,
07-09-2019 11.10,Sat,23600,후평 3동,2,,,1,1,,,,,,,,,,1,
07-09-2019 11.15,Sat,19800,후평 3동,1,2,1,,,,1,,,,,,,,,
07-09-2019 11.18,Sat,14100,동내면,2,,,,,,,,,,,,1,,,
07-09-2019 11.40,Sat,14800,동면,1,,,,1,,1,,,,,,,,,
07-09-2019 11.42,Sat,18800,후평 1동,1,,,,1,,,,,1,,,,,,
07-09-2019 11.47,Sat,22500,후평 2동,,1,,,1,,2,,,,,,,,,
07-09-2019 11.57,Sat,22800,석사동,,,,2,,,,,,,,,,,,
07-09-2019 12.00,Sat,15300,석사동,1,,,,,,,,,,,,1,,,
07-09-2019 12.05,Sat,18600,후평 3동,1,1,,,,,,,,1,,,,,,
07-09-2019 12.39,Sat,15100,효자 3동,2,1,,,,,,,,,,,,,,
07-09-2019 15.22,Sat,26300,후평 2동,,2,3,,,,,,1,,,,1,,,
07-09-2019 16.12,Sat,27500,후평 1동,3,1,,,,,,,,,,,,,,
07-09-2019 16.23,Sat,27400,후평 2동,3,1,,,1,,,,,,,,,,,
08-09-2019 11.08,Sun,25100,후평 3동,2,,,,,,,,,,,,,,2,
08-09-2019 11.27,Sun,14800,효자 3동,1,,,,,,1,,,,,,,,,
08-09-2019 11.37,Sun,26000,후평 2동,,1,,,2,,1,,1,,,1,,,,
08-09-2019 11.56,Sun,16400,퇴계동,3,,,,,,,,,,,,,,,
09-09-2019 11.12,Mon,23100,소양동,1,,,,1,,1,,,1,,,,,,
09-09-2019 12.04,Mon,22600,동면,2,1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
18-06-2020 14.52,,,,,,,,,,,,,,,,,,,
